year,title,genres,boxOffice,rank,category,winner
2013,Django Unchained,"Drama,Western",175829868,15,Best Original Screenplay,true
2013,Amour,"Drama,Romance",7278651,130,Best Original Screenplay,false
2013,Flight,"Drama,Thriller",101274165,33,Best Original Screenplay,false
2013,Moonrise Kingdom,"Adventure,Comedy,Drama",49153463,69,Best Original Screenplay,false
2013,Zero Dark Thirty,"Drama,Thriller",103378373,32,Best Original Screenplay,false
2013,Argo,"Biography,Drama,Thriller",146907543,22,Best Adapted Screenplay,true
2013,Silver Linings Playbook,"Comedy,Drama,Romance",142660394,23,Best Adapted Screenplay,false
2013,Life of Pi,"Adventure,Drama,Fantasy",134985984,27,Best Adapted Screenplay,false
2013,Beasts of the Southern Wild,"Adventure,Drama,Fantasy",13819405,119,Best Adapted Screenplay,false
2013,Lincoln,"Biography,Drama,History",196784610,13,Best Adapted Screenplay,false
2013,Life of Pi,"Adventure,Drama,Fantasy",134985984,27,Best Cinematography,true
2013,Anna Karenina,"Drama,Romance",13841676,118,Best Cinematography,false
2013,Django Unchained,"Drama,Western",175829868,15,Best Cinematography,false
2013,Lincoln,"Biography,Drama,History",196784610,13,Best Cinematography,false
2013,Skyfall,"Action,Adventure,Thriller",328709099,4,Best Cinematography,false
2013,Life of Pi,"Adventure,Drama,Fantasy",134985984,27,Best Visual Effects,true
2013,The Avengers,"Action,Adventure,Sci-Fi",673226542,1,Best Visual Effects,false
2013,Snow White and the Huntsman,"Action,Adventure,Drama",167758971,17,Best Visual Effects,false
2013,The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",327243853,5,Best Visual Effects,false
2013,Prometheus,"Adventure,Mystery,Sci-Fi",136595250,24,Best Visual Effects,false
2012,The Artist,"Comedy,Drama,Romance",49138850,71,Best Picture,true
2012,War Horse,"Drama,History,War",87873366,40,Best Picture,false
2012,Extremely Loud & Incredibly Close,"Adventure,Drama,Mystery",35032669,98,Best Picture,false
2012,Hugo,"Adventure,Drama,Family",81250957,48,Best Picture,false
2012,The Help,"Drama",186678923,13,Best Picture,false
2012,Moneyball,"Biography,Drama,Sport",83166041,46,Best Picture,false
2012,Midnight in Paris,"Comedy,Fantasy,Romance",62498328,57,Best Picture,false
2012,The Descendants,"Comedy,Drama",90842576,38,Best Picture,false
2012,The Tree of Life,"Drama,Fantasy",14633650,132,Best Picture,false
2012,The Artist,"Comedy,Drama,Romance",49138850,71,Best Directing,true
2012,The Descendants,"Comedy,Drama",90842576,38,Best Directing,false
2012,Hugo Cabret,"Adventure,Drama,Family",81250957,48,Best Directing,false
2012,The tree of life - l'arbre de vie,"Drama,Fantasy",14633650,132,Best Directing,false
2012,Minuit à Paris,"Comedy,Fantasy,Romance",62498328,57,Best Directing,false
2012,Midnight in Paris,"Comedy,Fantasy,Romance",62498328,57,Best Original Screenplay,true
2012,Margin Call,"Drama,Thriller",5889442,155,Best Original Screenplay,false
2012,Bridesmaids,"Comedy,Romance",186017397,14,Best Original Screenplay,false
2012,The Artist,"Comedy,Drama,Romance",49138850,71,Best Original Screenplay,false
2012,Jodaeiye Nader az Simin,"Drama",7808341,148,Best Original Screenplay,false
2012,The Descendants,"Comedy,Drama",90842576,38,Best Adapted Screenplay,true
2012,Hugo,"Adventure,Drama,Family",81250957,48,Best Adapted Screenplay,false
2012,Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller",26564332,109,Best Adapted Screenplay,false
2012,Moneyball,"Biography,Drama,Sport",83166041,46,Best Adapted Screenplay,false
2012,The Ides of March,"Drama,Thriller",45058787,75,Best Adapted Screenplay,false
2012,Hugo,"Adventure,Drama,Family",81250957,48,Best Cinematography,true
